question,coarse,fine
How did Dravot die?,DESC,manner
"After becoming a success, what image does Jim become infatuated with?",DESC,desc
"After Robin takes command of the band of outlaws in Sherwood Forest, what do they do?",DESC,desc
"How did Jake end up working for Bretton James, head of the rival firm, Churchill Schwartz?",DESC,manner
"What is McCullen's intention as he loads missiles destined for Beijing, Moscow, and Washington DC?",DESC,desc
What happens after Betty attends a charity event?,DESC,desc
How did the American soldiers manage to get close to the bunkers and Iraqui soldiers guarding Troy?,DESC,manner
Why do Justice and Lucky spend time apart after being together?,DESC,reason
"At Tatyana's name celebration, with whom is Onegin annoyed?",HUM,ind
What did the Marquis and Marquise do with their children once they realized they were to be arrested for being nobility?,DESC,desc
How does the young man from the coffee shop  manifest himself to Bill following his accident?,DESC,manner
What is said of James' characters?,DESC,desc
Why does Frye Attack Hilary?,DESC,reason
How does Hauk ensure that Snake with comply with the terms and not take off?,DESC,manner
Why does the Senior D.A. fail to charge Eric with statutory rape?,DESC,reason
How does Olive eventually come clean and tell the truth?,DESC,manner
Why does the narrator's girlfriend walk out on him?,DESC,reason
Why does Davinci and Rodriguez kill Lionel Hudd?,DESC,reason
How is the location of Dr. Evil's secret volcano lair discovered?,DESC,manner
Why does George end up firing Ira?,DESC,reason
What makes Pete's 40th birthday party such a disaster?,DESC,reason
What makes Walter realize the pain he caused his victims?,DESC,reason
What is Amadis' most famous battle?,ENTY,event
How does Joseph end up inheriting Michael's money?,DESC,manner
What does Lydia tell Miss Letitia she is having a hard time handling?,DESC,desc
What is the problem with the gun used to kill Hudd?,DESC,desc
What happens to Jason after Rebecca discovers the note he left Sara?,DESC,desc
Who is Ferrovius?,HUM,ind
Why does Grace have misgivings about marrying Edgar Fitzpiers before the wedding?,DESC,reason
Why is Elise being followed by the Police?,DESC,reason
What is revealed about Elise?,DESC,desc
Why did Neff begin to see Lola?,DESC,reason
Why is distric attorney Weiss looking for a white defendant?,DESC,reason
What did Dobroselova do to show her affection towards Pokrovsky?,DESC,reason
Why are Carter and Lee taken off the case?,DESC,reason
What happens to Sobel and Vitti at the armored car heist?,DESC,desc
How does Dr. Catchadourian trick Luke into sleeping with her?,DESC,manner
"Even though Juliette was the only person on trial, why were both she and Deroulede sentenced to death?",DESC,reason
What promise did Lincoln make on the subject of using force?,DESC,desc
How does Susan's interest from the coffee shop arrive at Bills party?,DESC,manner
What does Mme de Marelle tell Duroy at the wedding ceremony?,DESC,desc
What is the biggest point of irony in the story?,DESC,desc
Why was the idea of a university as a small hall rejected?,DESC,reason
What does Mr. Job Titus hope to gain from Tom Swift?,DESC,desc
Why does Brean have Motss killed?,DESC,reason
Why does the Sheriff of Nottingham kill Guy of Gisbourne?,DESC,reason
What three things do the employees of Yoyodyne Propulsion Systems have in common?,DESC,desc
What dilemma does La Writ place Cleremont by asking him to deliver a challenge?,DESC,desc
How does Fancy respond to the letter from Mr. Maybold?,DESC,manner
How is Berlin recieved at the department?,DESC,manner
What is the Dark Star tasked with doing?,DESC,desc
What is the first letter Tempest receives?,DESC,desc
How did Dain fool the rajah into thinking that he was dead?,DESC,manner
How does brown entice the team to win?,DESC,manner
Why has the techology in Ross' ship been kept secret?,DESC,reason
What was the purpose of the bells sounding above the General's head?,DESC,reason
Why does Wigand leave angrily and accuse Bergman of betraying him?,DESC,reason
What was Alex's premonition?,DESC,desc
Who is the Croft Family?,HUM,ind
Why does Lt. Aldo Raine carve a T into Private Butz's forehead?,DESC,reason
Who is Reginald Bliss?,HUM,ind
Why is the ruling theme to this story about the destruction of innocence?,DESC,reason
What did Almayer do after his wife left?,DESC,desc
"When Alwynne becomes ill with the flu, what does Elsbeth insist she do?",DESC,desc
How does Knox plan to find Charlie?,DESC,manner
How does Betty return to reality?,DESC,manner
Why did Lee and Carter go to Las Vegas?,DESC,reason
How does Bill feel about his daughter Susan's relationship and marriage contemplation?,DESC,desc
Why is Christina upset with her mother at the end?,DESC,reason
Why did Grace arrive at the Hill house?,DESC,reason
What does Billy realize just before midnight after getting very little writing done?,DESC,desc
Who killed Lee and why?,HUM,ind
What is the primary focus of democracy in the US?,DESC,desc
Why does Jack urge David to commit suicide?,DESC,reason
Why does Jim lose his naval command certificate?,DESC,reason
Why did vaughn go to casino and destroyed the property?,DESC,reason
Why does Jack apologize to Reggie?,DESC,reason
What complex the Mary have upon realizing who killed Carson?,DESC,desc
WHY DOES RIPLEY ORDER AN AUTOPSY ON NEWT?,DESC,reason
What do Mackleway and Kulok discover in their research?,DESC,desc
Why does Kale become suspicious of his neighbor?,DESC,reason
How does Lieutenant Hicox give himself away during the tavern meeting?,DESC,manner
What happens to Henry at the end?,DESC,desc
What deal does Hauk offer Snake?,DESC,desc
What condemning evidence jeopardized Lang's political reputation?,DESC,desc
What deal do Gekko and Jacob come to?,DESC,desc
What truce does Seth make with Jacob?,DESC,desc
What is it that the teenagers were discussing?,DESC,desc
What does Vic reveal as he dies?,DESC,desc
"Why is Romola's faith in Florence and, specifically, Savonarola, shaken?",DESC,reason
Why does Emmeline refuse Delemare's proposal?,DESC,reason
What happens when Coffey tries to send the warhead into the trench?,DESC,desc
What is the solution to disarm the warhead?,DESC,desc
After Travers begins working with the team what makes her give up and fly home?,DESC,reason
What happens when Sam and Charlie are packing Sam's room?,DESC,desc
How are Detective Gorby's detective skills highlighted in the story?,DESC,manner
How does Christof make sure that Truman does not want to travel away from the dome?,DESC,manner
Why was CIndy upset about the job position her boss offered her?,DESC,reason
What was the practical reasoning Crito used to try and convince Socrates to leave?,DESC,desc
Why is Amy Ashe sent to live with the Carrs?,DESC,reason
What are some of the abilities the Vril-ya have?,DESC,desc
What is one piece of evidence that indicates that Stark was charismatic?,DESC,desc
What does the mail carrier deliver to Grace's father?,DESC,desc
What choice does Ray have to face after the ferry sinks in the river?,DESC,desc
How does Creon die?,DESC,manner
"Why does Jim say ""you do buy things with your heart""?",DESC,reason
What did Robert do that stunned the English troops on the fields of Bannockburn?,DESC,desc
How did Mickey break his hand?,DESC,manner
What circumstances led to Tristram having an accidental circumsion as a toddler ?,DESC,desc
How are Jenny and the alien able to purchase a new car after traveling too far?,DESC,manner
How does Randolph get Sheldon fired from Kidnet?,DESC,manner
What happens when Edward has a vision- unaided by drugs?,DESC,desc
How does Duroy catch Madeleine having an affair?,DESC,manner
What is Nick and Sheeni's plan?,DESC,desc
"As civilization grows, what else grows according to the story?",DESC,desc
Why does Will refuse to get back together with Anna after apologizes?,DESC,reason
What does Soames discover about the way his contributions to poetry are described in the future?,DESC,desc
"How does the ""cutters"" team make it back in the lead during the Little 500 race?",DESC,manner
What was Emma's plan with Harriet?,DESC,desc
What happens to Yuri in the Colombia weapons trade?,DESC,desc
What does Holmes discover at the Baskerville estate?,DESC,desc
How does Mesty help Easy numerous times?,DESC,manner
How does Phil become a member of a pirate crew?,DESC,manner
Why did Melanie need Mitch's address?,DESC,reason
What is on the first videotape Bitsey views?,DESC,desc
Why does Froude attack the notion that West Indian blacks harbor animosity towards whites?,DESC,reason
Why does Darwin take Annie to Worcestershire town of Malvern?,DESC,desc
Why does Bella plan to offer herself to Monsieur Delmont?,DESC,reason
Why does Norma shoot Joe?,DESC,reason
What does Betty tell the bartender in Arizona?,DESC,desc
What happens to California during Spartan and Phoenix's incarceration?,DESC,desc
Who saves Hetty?,HUM,ind
Which kid is injured as they go through town trying to track the alien down?,HUM,ind
What happens when Vitti drives Sobel to a secluded place to kill him?,DESC,desc
Who is Katherine McKay?,HUM,ind
How does McClane prove to Lorenzo that the mercenaries and the Special Forces are working together?,DESC,manner
What do the goblins do when they realize Lizzie wants to buy a piece of fruit using a silver coin?,DESC,desc
What happened as a result of Emma giving the completed formula to Treitak's scientists?,DESC,desc
What is Schindler's List?,DESC,def
Who is christian agellius? tell us something about his life and the one who becomes his father figure.?,HUM,desc
What is included in the letters that Sylvia writes?,DESC,desc
How did the small black cubes work?,DESC,manner
Why did John want to take Nadia to the police after Yuri and Alexei left with the money?,DESC,reason
Why does Tom believe the photo telephone will work?,DESC,reason
How does Robin die?,DESC,manner
How did Fait and Su find out where the auction was taking place to find Ling?,DESC,manner
Under what circumstances is Christina invited to stay with the Claskys?,DESC,desc
What does the German officer promise Perrier LaPedite if he reveals where the Dreyfus family is hiding?,DESC,desc
What does Sam discover after finding his clone and confronting GERTY about it?,DESC,desc
"What are Julie, Ernie, and Ricky turned in to?",DESC,desc
"After Max leaves the compound, how do the other inhabitants end up escaping?",DESC,manner
How does Dutch finally find a way to fight the creature?,DESC,manner
How did Ethan get the video of the affects of Chimera?,DESC,manner
What did the Czarover of Herku invent that made his people strong enough to keep giants as slaves?,DESC,desc
What is Capes response to what Ann tells him?,DESC,desc
Whaat happens each time John Hancock uses his super powers to stop criminals?,DESC,desc
What is Sanctuary?,DESC,def
What saves Meg from jumping off the bridge?,DESC,desc
Who is Jack Holloway?,HUM,ind
What did Lady Coxon promise her deceased husband?,DESC,desc
Why does the reconciliation between Vivie and Mrs. Warren abruptly end?,DESC,reason
How did the rats fool the exterminators?,DESC,manner
What does one scientist believe caused the outbreak?,DESC,desc
Why does Lensky challenge Onegin to a duel?,DESC,reason
What features and abilities will Jenny's baby have?,DESC,desc
How does the army become involved in the capturing of Starman?,DESC,manner
Why did Richards escort Elena away from the scene after the claim that there were no diamonds?,DESC,reason
What do Alexander and Soredamores find when they return to Greece after their marriage?,DESC,desc
What does Marlon discover in Truman's basement?,DESC,desc
Why does Salieri renounce God?,DESC,reason
"Why is Luca Brasi sent to spy on Virgil ""The Turk"" Sollozzo? ",DESC,reason
What is the reaction to Paul's first non Misery story?,DESC,desc
Why does Dunwitty reject the work of Delacroix?,DESC,reason
Whose wedding was Emma Woodhouse attending in the beginning of the story?,HUM,ind
What does his widow do after he dies?,DESC,desc
"Before dying, what does Ruthven make Aubrey swear?",DESC,desc
How are William Miller and Major Carteret related?,DESC,manner
How does Easy come to wealth?,DESC,manner
What happens to Keegan and Clair at the end of the story?,DESC,desc
Why does David cause constitutional crisis?,DESC,reason
What is the frame of mind of the men as they realize life is not sympathetic to their fate?,DESC,desc
What does Willoughby find out about John Doe in Millsville?,DESC,desc
How did Jack of Troffs information change the direction of the protagonist's relationship?,DESC,manner
How does Augustine try to win her husband back?,DESC,manner
What did Marilyn asked Puffy?,DESC,desc
What causes Marianne to fall ill?,DESC,reason
What does that character do in the effort of getting a look at the dead poets papers?,DESC,desc
What happened to Peter's confession letter?,DESC,desc
Why did Miss Mackenzie have to give her inheritance to John Ball?,DESC,reason
What happens when Otho tries to conduct a seance?,DESC,reason
What are two examples of E.T.'s psychic connection with Elliot?,DESC,desc
Who is Maria Maraias?,HUM,ind
Who is Dean Corso?,HUM,ind
In what way(s) were Crichton and Lord Loam's roles reversed during the story?,DESC,desc
Why does Cyril get beat up by Rod?,DESC,reason
What lesson does Karl learn in the end?,DESC,desc
What is the division of labor on the island?,DESC,desc
What trade does Jacob propose to Gekko?,DESC,desc
Who did the narrator evict?,HUM,ind
How does Amber become a co-anchor for WAZB-TV?,DESC,manner
What was to be given to West in the event of the General's death?,DESC,desc
Whose idea is it for the Terminator to be destroyed at the end of the story?,HUM,ind
Why is Jamal accused of cheating on the game show?,DESC,reason
What makes the Lens that Samms is presented with so unique?,DESC,desc
Why does Emil stab his old partner to death?,DESC,reason
How are Yusuf and Oliver freed from the slave ship?,DESC,manner
Why was Anthony upset at Dignan after the practice heist?,DESC,reason
Why doesn't Del Spooner approve of the robots?,DESC,reason
What does Kathleen reveal to Joe in their conversation at Shop Around the Corner?,DESC,desc
What does Jarvis speculate about the crystal beyond the wheel?,DESC,desc
How does Dimitri convince Marie to see Anastasia?,DESC,manner
How did Aisha trick The Losers into stealing a hard drive full of Max's secrets?,DESC,manner
Why does Michael want to keep his fortune (and plans) a secret?,DESC,reason
What does Joe learn from Alice's father?,DESC,desc
What is the second of the three gifts from the first week?,DESC,desc
What cannot become an object for us?,DESC,desc
How does Olive react to the labels she is facing?,DESC,manner
What happens in Kyle's car the night before his surgery?,DESC,desc
What does Andy learn through fellow inmate Tommy?,DESC,desc
How does Supergirl defeat Selena?,DESC,manner
How does Leonard react to the confession that proves Rosamund is not the true heir of Porthgenna?,DESC,manner
Why does Melanie go to pick up Cathy from school?,DESC,reason
How come Fr Superior and Fr Clement think they should get to have sex with Bella as well?,DESC,manner
Why did Mickey have reservations about his fight in Atlantic City ?,DESC,reason
Why was Dr. Watson called to attend to Holmes?,DESC,reason
How does the main character find help in procuring the papers?,DESC,manner
What did John and Jenny Grogan do shortly after their wedding?,DESC,desc
"What happened to the ""real' audiotape?",DESC,desc
Why is Ted on the flight?,DESC,reason
Who was Ploni Almoni?,HUM,ind
Who is Mr. Gilbertson?,HUM,ind
What problems is Ben Sobel dealing with at the beginning of the story?,DESC,desc
Why does the family have 2 branches?,DESC,reason
What does Teddy belives he is doing in the basement?,DESC,desc
Why does the Queen demand an apology from Shakespeare?,DESC,reason
What made King Edward dedicate himself fully to his role as king?,DESC,reason
Why is Venza so determined to get to Clair?,DESC,reason
Why does Chad quit/get fired from the story?,DESC,reason
What happens to the FBI's deal with Jordan?,DESC,desc
What was the purpose of Dr. Ferguson's trip to Africa?,DESC,desc
Why does Dr Hobbes develop the parasite in the first place?,DESC,reason
What happens after Rachel and Enid prank-call Seymour?,DESC,desc
What is his 'doom' and what vice does this signify?,DESC,desc
Why does Kate pretend to be pregnant?,DESC,reason
Why does Shoshanna splice in footage of herself into Stolz der Nation?,DESC,reason
How does USR CEO Lawrence Robertson perish?,DESC,manner
How does Thomas J. die?,DESC,manner
Why does Patrizio want Pat to attend an Eagles' game?,DESC,reason
What incident keeps Pat from attending the Eagles' game?,DESC,desc
What happens during the game of truth and dare?,DESC,desc
Why does Anna come to Will's house to hide out?,DESC,reason
What does Boris Balkan hire Dean Corso to do?,DESC,desc
What happened to the woman who took the tears?,DESC,desc
What is ironic about why Beth shows resentment toward Matt after their divorce?,DESC,desc
What happens at the Apalachin meeting?,DESC,desc
What does Lambeau do upon seeing the complicated math problem solved?,DESC,desc
What does Gekko learn from Winnie?,DESC,desc
What does this half of an amulet do for the children?,DESC,desc
Who is David Dokos?,HUM,ind
Why do Popeye and Mulderig dislike each other?,DESC,reason
What does Bitsey Bloom become convinced of?,DESC,desc
Why was it important to have Will testify in court?,DESC,reason
What's the Voight-Kampff test do?,DESC,desc
How do Alexa and Scar kill the Alien Queen?,DESC,manner
What does John's wife Fanny tell him to do?,DESC,desc
What does the man claining to represent the Illuminati say will happen at midnight?,DESC,desc
What happens when 9 unites his and the Cat Beasts talisman halves?,DESC,desc
What promise does the quaker woman make to Deborah?,DESC,desc
Who were Markway's companions he chose to accompany him into the mansion?,HUM,ind
"In Mount Sinai, what vision did Tancred have?",DESC,desc
Why does Doc disable the escape pods?,DESC,reason
Why is Hetty's sentence changed to transportation?,DESC,reason
What was Blue's next demand to Garber?,DESC,desc
What was the difference in men and women's roles before the French Revolution?,DESC,desc
What does Paul discover in newspaper clippings in Annie's home?,DESC,desc
What were Stephan Meyer's demands to Mike Morris?,DESC,desc
What causes Gill to beat Rae and leave her on the side of the road?,DESC,reason
What sets the story apart from other works of the time?,DESC,reason
Why is Birotteau unable to get his belongings back?,DESC,reason
When does Bonnie and Clyde's holdups turn from being amateur and not very lucrative to more high profile and lucrative?,NUM,period
How does Marianne decide to respond to Willoughby's return?,DESC,manner
How does Leonard plan on killing Teddy?,DESC,manner
Who does elemak lead?,DESC,reason
Why is the focus on group dynamics?,DESC,reason
"After Thorfinn had gotten angry with his daughter, what happens?",DESC,desc
"How does Virginia ""Gin"" Baker try to entrap Mac?",DESC,manner
Why is Alice afraid to love John?,DESC,reason
What does Darwin's wife Emma worry about?,DESC,desc
Why weren't any of the men who returned to the glen the fulfillment of the legend?,DESC,reason
Why are the government of Zarathustra and the now Charterless Zarathustra Company cooperating with each other?,DESC,reason
What intrudes on her first year at the high school as she tries to instruct her students?,DESC,desc
What ultimately causes a downfall for the band?,DESC,reason
Why did lestat bite claudia?,DESC,reason
How does Stanley neutralize the hydra program that he delivers to Gabriel?,DESC,manner
Why does the United Mine Workers refuse to support the GFC worker strike?,DESC,reason
What problem in South Africa does President Mandela fear will lead to violence?,DESC,desc
What is Neverbend forced to do by the British?,DESC,desc
Why does Laura think that cheating on a test is God's will?,DESC,reason
What is the climax of this story?,DESC,desc
How does Rachel die?,DESC,manner
What is the present that Anna leaves for Will?,DESC,desc
Why does Kate leave Phillip after living with him in secret?,DESC,reason
"What is the ""drop point""?",DESC,desc
How does the story resolve?,DESC,manner
"Cedric's grandfather initially wanted nothing to do with Cedric's mother, what made him change his mind? ",DESC,reason
Why is Thomas Cole called the Variable Man?,DESC,reason
What two things has Dorchin done to the dead people?,DESC,desc
Why did Casper's men think they found Bernie's dead body?,DESC,reason
How is Vitaly also impacted by the Colombia sale?,DESC,manner
Why aren't Jim and Dave interested in courting Daisy any longer?,DESC,reason
What is a Runner?,DESC,def
Why did Sal blackmail Richard?,DESC,reason
What does Lisa first report to the police?,DESC,desc
What occurs each time Thibault wishes for vengeance?,DESC,desc
Why was General Heatherstone allowed to live by the old man's students?,DESC,reason
What transpires when Delmont realizes he may have impregnated his own daughter?,DESC,desc
What finally causes Rinaldo to come back to reality after being with Armida on the magical island?,DESC,desc
What does Bergman do to try and secure testimony from Wigand?,DESC,desc
What two things cause Edward distress and forces him to flee to France?,DESC,desc
What is the secret Holmes kept hidden from everyone as he investigated this case?,DESC,desc
"The Marquis was taken with Harry right away but it took the rest the family a lot longer to adjust to him, Why?",DESC,reason
"What is the significance, toward the end, where Danny agrees not to steal from Benedict anymore, but Toulour is spying on him?",DESC,desc
How does Erik convince Christine to marry him?,DESC,manner
How was the last chamber decorated?,DESC,manner
Why does Hunsecker send Kello after Falco?,DESC,reason
"After rejecting his first proposal, how does Bulmer attempt to force Clara into marriage?",DESC,manner
What does Joseph do to try and prevent Jane from inheriting Michael's money?,DESC,desc
What aspect of Tom Swift's business had originally sparked Mr. Job Titus' interest?,DESC,desc
What does Joe witness while the kids are filming a midnight scene at the train station?,DESC,desc
"What is ""Almayer's Folly""?",DESC,def
How come the CIA is confused about the Russians having information from Osbourne's computer?,DESC,reason
What does Laura realize the next day while getting water?,DESC,desc
What have the Basekrville family been suffering under since the English Civil War era?,DESC,desc
What happened to Mary Thornes parents?,DESC,desc
Why does Sara move in with Irene?,DESC,reason
Who was the voodoo priest that Besty took Jessica to for healing?,HUM,ind
Who are the allies Kathryn finds in her investigation?,HUM,ind
What is the significance of Sarah's ring?,DESC,desc
What is Sydney Ellen Wade lobbying for?,DESC,desc
What does Gabriel do to cause Stanley trouble after Stanley delivers the hydra?,DESC,desc
What was the surgeon's mistake?,DESC,desc
What are the sentences Jesus will hand out for the righteous and the unholy?,DESC,desc
Why is Edward able to marry Elinor?,DESC,reason
What is Arabella's marital goal?,DESC,desc
How is the story of Laura's rescue spun to the public?,DESC,manner
Why did Joe want his crew not to finish the airplane job?,DESC,reason
Why does Jessie believe Hoopdriver's outlandish tales?,DESC,reason
How are Ted and Brazier killed?,DESC,manner
What consequences did Henry face after the will was discovered?,DESC,desc
What does Hathaway threaten Chris with as punishment for failing to solve the laser?,DESC,desc
How does the crab feel about the persimmon seed?,DESC,manner
Why did tension exist between Steve Arnold and the Lieutenant from The Big Red One?,DESC,reason
How is street robbery proposed to be curbed?,DESC,manner
What are the differences between Tolstoy and Sofya in terms of their values?,DESC,desc
What do King Krewl and Googly-Goo do to Gloria?,DESC,desc
How does Chip blackmail Steven while having dinner with Steven's family?,DESC,manner
When does Diana realize she is in love with Ahmed?,NUM,period
Why does Vitti see Ben Sobel?,DESC,reason
How does Cherlindrea describe and identify the baby?,DESC,manner
Why did Barbara leave the shelter?,DESC,reason
Why is Bartleby angry with God?,DESC,reason
On day two of the bad dream what does Swanson share with Guy?,DESC,desc
How does Motss explain Schumann's death?,DESC,manner
What happens to the museum at the end of the story?,DESC,desc
How does Data finally defeat the Borgs?,DESC,manner
Why is Finn brought to trial for the murder of the Mr Bonteen?,DESC,reason
Who is the Creepy thin man?,HUM,ind
What happens between Lisa and her math teacher?,DESC,desc
"After the drugs were found in the car, what do the detectives do?",DESC,desc
Why did Cecil and Edith finally agree to get married?,DESC,reason
To whom does the first poem in the collection pay tribute?,HUM,ind
